کارنامه سال,سهمیه,قبولی,رتبه سهمیه زیرگروه ۱,رتبه سهمیه زیرگروه ۲,رتبه سهمیه زیرگروه ۳,رتبه سهمیه زیرگروه ۴,معدل موثر,زبان انگلیسی,مجموعه ریاضیات,دروس تخصصی ۱,دروس تخصصی ۲,دروس تخصصی ۳,دروس تخصصی ۴,رتبه کشور زیرگروه ۱,رتبه کشور زیرگروه ۲,رتبه کشور زیرگروه ۳,رتبه کشور زیرگروه ۴,میانگین درصد ضریب ۱,میانگین درصد ضریب ۲,میانگین درصد ضریب ۳,میانگین درصد ضریب ۴
1404,0,هوش مصنوعی شریف,4,2,3,2,20.00,76.00,25.00,100.00,78.33,75.00,36.67,4,2,3,2,62.18,66.62,64.73,64.96
1404,0,نرم افزار شریف,6,5,7,6,19.67,96.00,38.33,53.33,81.67,38.33,60.00,7,5,8,6,58.62,61.07,57.18,60.07
1404,0,-,7,10,6,7,18.15,82.67,33.33,60.00,50.00,63.33,73.33,8,11,7,8,60.18,58.40,59.51,58.62
1404,0,هوش مصنوعی شریف,10,12,10,9,20.00,8.00,33.33,50.00,68.33,76.67,53.33,11,13,11,10,54.87,54.09,56.42,55.87
1404,0,هوش مصنوعی تهران بورسیه همراه اول,15,33,16,18,19.00,70.67,35.00,23.33,53.33,63.33,60.00,17,36,18,20,51.82,48.71,52.04,51.38
1404,0,بیوانفورماتیک شریف,21,21,26,25,17.00,49.33,55.00,60.00,46.67,41.67,53.33,23,23,29,27,50.51,51.29,49.73,50.07
1404,0,نرم افزار تهران,33,101,33,59,18.78,90.67,-3.32,23.33,18.33,81.67,80.00,37,111,37,64,50.05,42.05,50.16,45.93
1404,0,هوش مصنوعی تهران نوبت دوم,34,38,34,37,16.53,73.33,31.67,66.67,38.33,51.67,56.67,38,41,38,41,51.11,50.89,50.78,49.89
1404,0,-,37,36,32,29,18.08,60.00,23.33,40.00,68.33,60.00,40.00,41,39,36,31,48.78,49.33,50.11,50.67
1404,0,-,41,27,41,33,17.55,24.00,5.00,90.00,66.67,46.67,46.67,45,30,45,46,49.38,53.60,49.38,50.71
1404,0,-,43,43,49,51,20.00,12.00,0.00,76.67,41.67,50.00,65.00,47,47,53,55,46.69,46.91,45.69,45.13
1404,0,هوش مصنوعی تهران,44,44,37,39,20.00,4.00,11.67,56.67,56.67,63.33,46.67,48,48,41,43,45.82,46.05,46.93,46.49
1404,0,نرم افزار تهران,46,84,56,65,19.07,4.00,30.00,26.67,40.00,56.67,66.67,50,94,60,70,44.94,41.16,44.27,43.16
1404,0,هوش مصنوعی تهران نوبت دوم,48,67,65,59,19.31,40.00,16.67,30.00,50.00,45.00,63.33,52,74,69,64,44.78,42.89,43.56,43.89
1404,0,هوش مصنوعی تهران,49,42,64,44,18.55,96.00,35.00,33.33,60.00,26.67,46.67,53,45,68,48,45.29,46.62,43.96,46.18
1404,0,الگوریتم شریف,54,57,57,55,19.54,96.00,21.67,50.00,43.33,46.67,41.67,58,61,61,60,45.07,45.40,45.40,45.18
1404,0,هوش مصنوعی تهران نوبت دوم,55,50,47,54,19.73,100.00,30.00,66.67,35.00,51.67,31.67,59,54,51,59,45.34,46.56,46.67,45.56
1404,0,رایانش امن شریف,56,82,73,71,18.86,21.33,23.33,36.67,43.33,48.33,61.67,60,91,78,77,44.20,42.20,43.31,42.98
1404,0,هوش مصنوعی امیرکبیر,57,78,50,66,20.00,4.00,20.00,50.00,41.67,66.67,46.67,61,86,54,71,43.71,42.27,45.05,43.38
1404,0,معماری شریف,58,55,75,68,16.23,50.67,23.33,66.67,48.33,40.00,51.67,62,59,82,73,46.82,48.38,46.04,46.60
1404,0,هوش مصنوعی تهران نوبت دوم,59,96,81,75,19.16,66.67,23.33,16.67,46.67,43.33,58.33,63,106,88,81,43.33,40.78,42.33,42.56
1404,0,هوش مصنوعی شریف (سهمیه شاگرد اولی),60,53,67,71,20.00,0.00,13.33,90.00,38.33,48.33,48.33,64,57,72,77,44.00,46.11,44.00,43.33
1404,0,هوش مصنوعی امیرکبیر,64,91,72,89,18.09,66.67,0.00,63.33,30.00,58.33,58.33,68,101,77,97,46.11,44.55,46.11,44.22
1404,0,هوش مصنوعی تهران نوبت دوم,65,59,52,64,19.67,38.67,38.33,70.00,36.67,56.67,30.00,69,63,56,69,43.69,45.02,45.47,44.13
1404,0,الگوریتم تهران,66,58,61,63,18.84,88.00,38.33,56.67,41.67,45.00,31.67,70,62,65,68,44.31,45.76,45.20,44.98
1404,0,نرم افزار تهران,69,56,51,47,19.63,77.33,0.00,50.00,63.33,60.00,30.00,74,60,55,51,44.49,46.04,46.49,46.71
1404,0,هوش مصنوعی تهران نوبت دوم,71,60,55,56,17.90,57.33,18.33,60.00,53.33,60.00,31.67,77,64,59,61,45.38,46.82,47.27,46.82
1404,0,هوش مصنوعی تهران نوبت دوم,75,61,79,74,19.73,82.67,13.33,66.67,43.33,40.00,40.00,82,65,86,80,43.51,45.51,43.51,43.73
1404,0,نرم افزار تهران,80,99,90,95,20.00,30.67,28.33,40.00,35.00,38.33,58.33,88,109,98,104,41.38,39.93,40.04,39.82
1404,0,-,85,95,88,67,18.27,61.33,16.67,3.33,73.33,40.00,46.67,94,105,96,72,41.87,41.20,41.42,43.64
1404,0,هوش مصنوعی صنعتی اصفهان,86,64,103,83,17.59,38.67,0.00,40.00,26.67,8.33,30.00,943,777,"1,045",920,22.91,24.80,21.47,22.69
1404,0,هوش مصنوعی امیرکبیر,89,113,106,118,17.75,72.00,13.33,56.67,26.67,45.00,56.67,98,124,116,128,43.58,42.36,42.80,41.58
1404,0,نرم افزار تهران,91,100,87,96,18.62,44.00,16.67,50.00,41.67,48.33,46.67,100,110,95,105,42.27,42.05,42.38,41.93
1404,0,-,92,70,91,78,19.10,78.67,21.67,43.33,56.67,35.00,35.00,101,77,99,84,41.58,43.58,41.58,43.02
1404,0,نرم افزار تهران نوبت دوم,93,114,118,113,17.99,14.67,21.67,50.00,36.67,45.00,56.67,103,125,128,123,41.98,40.98,41.20,40.65
1404,0,رایانش امن شریف,101,112,110,107,19.47,68.00,-3.32,50.00,40.00,48.33,48.33,112,123,120,117,41.31,40.87,41.31,40.76
1404,0,هوش مصنوعی علم وصنعت,102,132,86,110,18.42,0.00,0.00,46.67,41.67,68.33,51.67,113,145,94,120,42.00,39.89,43.11,41.33
1404,0,بیوانفورماتیک شریف,106,85,100,94,19.99,37.33,13.33,63.33,46.67,45.00,35.00,117,95,109,103,40.38,42.38,41.04,41.16
1404,0,رایانش امن شریف,108,153,95,128,19.65,8.00,10.00,50.00,25.00,70.00,48.33,119,166,103,139,40.42,37.53,41.87,38.87
1404,0,معماری شریف,112,111,108,120,19.68,89.33,38.33,56.67,23.33,41.67,31.67,123,122,118,130,40.07,40.51,40.73,39.51
1404,0,شبکه‌های کامپیوتری تهران,113,155,120,136,17.17,20.00,0.00,50.00,31.67,65.00,56.67,124,168,131,148,42.45,39.78,43.00,40.78
1404,0,-,116,117,129,122,20.00,30.67,45.00,50.00,28.33,36.67,40.00,127,128,141,133,38.38,38.49,38.16,37.60
1404,0,-,117,175,112,143,17.85,68.00,15.00,40.00,21.67,63.33,48.33,128,189,122,155,41.75,38.42,42.75,39.98
1404,0,-,118,144,147,114,20.00,82.67,5.00,0.00,55.00,35.00,53.33,129,157,159,124,38.40,36.18,37.18,38.51
